year,Grid electricity final price,Export revenue
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
1,60.0,0.0
